country_code,state_code,city_code,sdek_city_code
RU,KK,842,14272
RU,KK,839,823
RU,ORE,641,2837
RU,KDA,422,1587
RU,CE,403,
RU,BA,547,634
RU,TA,592,1497
RU,TA,579,1498
RU,ROS,516,1068
RU,SA,970,2989
RU,ORE,652,13035
RU,ROS,532,1070
RU,SE,390,2010
RU,SVE,726,1337
RU,CU,609,3159
RU,SA,967,502
RU,ALT,847,795
RU,VLA,27,1196
RU,PER,663,589
RU,STA,471,1468
RU,BEL,2,16987
RU,TUL,232,2090
RU,TA,580,1054
RU,KHA,991,900
RU,KDA,408,959
RU,IRK,885,280
RU,KEM,907,767
RU,VOR,53,1353
RU,MUR,326,989
RU,MOS,154,483
RU,KDA,425,1386
RU,SVE,764,602
RU,CE,395,3143
RU,SE,391,2011
RU,NIZ,622,1002
RU,STA,473,14666
RU,SAR,707,2956
RU,KDA,409,315
RU,PRI,973,2379
RU,TA,593,1504
RU,PRI,974,53
RU,SVE,727,1191
RU,ARK,272,402
RU,SVE,728,608
RU,TOM,952,409
RU,AST,489,432
RU,SAR,696,2957
RU,KDA,447,1057
RU,AST,490,145
RU,KDA,423,31645
RU,KIA,861,1259
RU,CE,399,3142
RU,CHE,803,688
RU,TA,581,1506
RU,ROS,533,2893
RU,IRK,902,1124
RU,BA,548,646
RU,CHE,830,13909
RU,KB,374,2513
RU,KLU,75,1917
RU,SAR,697,1089
RU,NIZ,623,1000
RU,MOS,127,1097
RU,SAR,698,1629
RU,UD,605,3098
RU,ZAB,957,13067
RU,KGD,289,2523
RU,NVS,932,745
RU,ALT,844,274
RU,ULY,714,3112
RU,ROS,517,1072
RU,KEM,909,14570
RU,CE,401,15068
RU,TVE,217,1304
RU,SAM,691,1053
RU,KDA,427,1591
RU,ROS,518,1543
RU,BEL,1,337
RU,BA,549,631
RU,TUL,241,2092
RU,KEM,908,766
RU,AMU,1001,896
RU,ALT,848,814
RU,MOS,131,1666
RU,BA,551,249
RU,KDA,410,13
RU,KHM,774,105
RU,KHM,791,1017
RU,NVS,933,728
RU,PER,664,564
RU,KIA,877,869
RU,KEM,912,761
RU,SVE,730,610
RU,SE,393,2018
RU,ALT,849,275
RU,KHA,992,13866
RU,YEV,1018,914
RU,BA,552,548
RU,AMU,1000,286
RU,BA,553,656
RU,STA,474,1470
RU,VOR,54,1354
RU,SVE,731,1373
RU,TUL,233,446
RU,NIZ,624,1008
RU,KIA,862,856
RU,IRK,886,1160
RU,LEN,295,977
RU,TVE,218,1445
RU,NVS,938,733
RU,PRI,976,904
RU,NIZ,625,1004
RU,ZAB,958,13979
RU,BEL,8,2471
RU,VOR,47,352
RU,NGR,339,2358
RU,TYU,772,922
RU,KIA,863,864
RU,IRK,887,877
RU,MOS,101,1099
RU,KDA,428,1166
RU,BRY,12,220
RU,TA,582,1055
RU,ORE,642,100
RU,STA,459,1080
RU,ORE,643,1218
RU,TA,583,1508
RU,KOS,82,2612
RU,DA,355,1870
RU,VOR,55,2351
RU,NGR,341,2812
RU,BEL,3,344
RU,KHA,996,29
RU,KDA,437,14661
RU,TA,594,3043
RU,PSK,347,1315
RU,NGR,338,139
RU,VLG,283,992
RU,ARK,279,994
RU,TUL,242,445
RU,PER,674,573
RU,SMO,203,3003
RU,CHE,804,1104
RU,SVE,732,609
RU,SVE,734,605
RU,MOS,144,1100
RU,KAM,1009,407
RU,IRK,899,1869
RU,IVA,62,465
RU,PRI,971,288
RU,SE,388,1082
RU,VLA,26,94
RU,MOS,186,28
RU,VGG,494,426
RU,ROS,519,1075
RU,KOS,83,941
RU,ME,571,2746
RU,VGG,496,427
RU,VLG,282,246
RU,MOS,129,484
RU,LEN,296,974
RU,SAR,699,2958
RU,KO,264,2600
RU,KO,263,999
RU,VOR,45,506
RU,MOS,130,1203
RU,UD,601,3089
RU,PRI,981,500
RU,LEN,297,980
RU,KO,265,2601
RU,LEN,298,971
RU,NIZ,626,1014
RU,KDA,429,1593
RU,TVE,219,1446
RU,KHA,998,2363
RU,VLA,28,1197
RU,SMO,201,397
RU,KIR,614,388
RU,YAR,253,1437
RU,SMO,202,398
RU,ORE,644,696
RU,KOS,84,1810
RU,LEN,299,981
RU,KGD,292,2525
RU,KDA,411,1062
RU,STA,460,1077
RU,AD,351,16027
RU,UD,602,561
RU,MOS,161,1102
RU,AL,831,822
RU,ALT,857,783
RU,CHE,812,16896
RU,NIZ,627,1005
RU,VGG,501,2456
RU,VLA,38,2486
RU,VGG,495,1024
RU,STA,469,3010
RU,KDA,412,1066
RU,KEM,910,23948
RU,VOR,56,1358
RU,CE,394,441
RU,LIP,97,930
RU,VLG,286,2029
RU,PER,665,567
RU,BEL,4,1230
RU,YAN,794,618
RU,CE,396,3144
RU,ROS,520,1316
RU,KDA,430,1300
RU,KEM,913,2369
RU,KGD,293,890
RU,BU,837,544
RU,VLA,29,460
RU,BA,554,658
RU,DA,356,14482
RU,KGN,720,2664
RU,PRI,977,1148
RU,PRI,978,2378
RU,YAR,254,531
RU,LIP,98,1579
RU,SVE,756,2998
RU,MOS,139,226
RU,DA,357,2492
RU,SMO,200,3004
RU,TA,599,3220
RU,NIZ,628,863
RU,MOS,102,1103
RU,KIA,864,845
RU,STA,472,1472
RU,ULY,715,2350
RU,KDA,431,1595
RU,MOS,133,478
RU,PER,666,582
RU,MOS,103,472
RU,MOS,134,1174
RU,ROS,521,1540
RU,STA,487,1473
RU,TUL,234,1959
RU,MOS,104,65
RU,VGG,502,324
RU,KB,375,
RU,KIA,883,828
RU,BA,555,405
RU,BRY,13,2301
RU,ROS,534,2901
RU,MOS,136,21
RU,KDA,413,1087
RU,SVE,724,250
RU,TA,584,1056
RU,VGG,503,2461
RU,LIP,96,362
RU,KDA,407,1596
RU,KAM,1010,895
RU,CHE,805,1347
RU,KO,271,2606
RU,KIA,865,831
RU,SAR,708,2963
RU,STA,461,1235
RU,STA,484,3012
RU,TUL,236,444
RU,STA,462,1280
RU,KIA,866,2344
RU,KRS,89,870
RU,IRK,900,886
RU,MOS,105,391
RU,TAM,214,3030
RU,SAM,682,1045
RU,VGG,504,1573
RU,BRY,18,2313
RU,MOS,106,1299
RU,AMU,1007,3224
RU,TYU,768,619
RU,PRI,975,1074
RU,SE,389,2012
RU,NIZ,633,1007
RU,TA,585,1512
RU,MUR,336,401
RU,MOS,137,1314
RU,PNZ,656,421
RU,SVE,735,614
RU,ALT,850,98
RU,ROS,522,2904
RU,KIA,867,865
RU,MOS,184,184
RU,TA,586,1513
RU,STA,486,1474
RU,KC,385,2548
RU,ROS,535,2905
RU,AMU,1002,2329
RU,IRK,888,874
RU,ROS,536,2906
RU,CHE,806,685
RU,AST,491,2406
RU,IVA,61,164
RU,MOS,107,2965
RU,SVE,736,1640
RU,UD,606,3091
RU,UD,600,224
RU,DA,358,2488
RU,KHM,788,1440
RU,STA,476,54
RU,KIA,878,867
RU,KDA,448,2638
RU,ULY,716,3114
RU,STA,463,3015
RU,KO,266,2346
RU,STA,477,1475
RU,SVE,737,1267
RU,IRK,884,281
RU,OMS,948,82
RU,NVS,934,70
RU,MOS,138,482
RU,TYU,769,620
RU,BA,556,672
RU,ME,570,141
RU,PRI,986,2868
RU,TA,578,424
RU,KIA,873,1020
RU,VOR,57,2352
RU,VGG,505,271
RU,OMS,949,713
RU,KGD,288,152
RU,MOS,155,1688
RU,KDA,405,
RU,SAR,709,222
RU,KEM,914,1189
RU,KLU,71,142
RU,TVE,228,1449
RU,PNZ,657,2856
RU,SVE,738,
RU,ROS,523,1245
RU,ALT,851,786
RU,VLA,39,14600
RU,TA,598,3221
RU,AST,492,2408
RU,VGG,497,1025
RU,SVE,739,613
RU,CU,610,3160
RU,MUR,327,2803
RU,KDA,433,1599
RU,KIA,868,859
RU,IN,366,
RU,VLA,36,14796
RU,CHE,807,3136
RU,IN,365,31226
RU,NVS,940,739
RU,KC,384,2549
RU,BRY,19,2303
RU,SVE,740,1293
RU,CHE,808,684
RU,RYA,191,2944
RU,CHE,809,686
RU,DA,359,2489
RU,CHE,810,14540
RU,KGN,721,2660
RU,SVE,741,603
RU,TVE,220,1450
RU,MOS,140,80
RU,KEM,906,13446
RU,KEM,905,272
RU,KR,256,2562
RU,PER,667,574
RU,DA,360,2490
RU,DA,361,2493
RU,TUL,237,939
RU,TVE,221,1451
RU,LEN,300,138
RU,SAM,683,1046
RU,SAM,692,
RU,IVA,63,462
RU,TUL,243,2097
RU,VLA,40,13000
RU,LEN,301,970
RU,KLU,72,1947
RU,KIR,613,415
RU,SVE,742,305
RU,KIR,615,241
RU,LEN,302,973
RU,MUR,328,2804
RU,TAM,208,3032
RU,KEM,915,772
RU,STA,464,62
RU,BRY,20,2315
RU,MOS,108,1121
RU,MOS,141,253
RU,BRY,14,416
RU,MUR,334,191
RU,VLA,30,294
RU,MO,575,2766
RU,KHM,775,623
RU,KIA,879,844
RU,KLU,78,1928
RU,ME,572,13088
RU,MOS,109,967
RU,TOM,953,726
RU,LEN,317,1289
RU,SVE,725,13310
RU,VLA,31,492
RU,LEN,314,2690
RU,KHA,993,903
RU,MO,577,14654
RU,TVE,222,1452
RU,KR,257,2554
RU,KLU,76,1188
RU,ROS,537,2910
RU,CHE,811,961
RU,RYA,194,2938
RU,KDA,434,1601
RU,CHE,813,1753
RU,MOS,110,205
RU,SAK,1013,56
RU,ARK,273,1170
RU,TUL,231,3062
RU,KR,258,986
RU,KOS,81,165
RU,MOS,148,524
RU,VGG,507,1577
RU,KIR,616,2584
RU,ARK,274,1756
RU,VGG,508,1575
RU,TAM,209,377
RU,IVA,67,2077
RU,NVS,941,735
RU,STA,479,1476
RU,MOS,111,1548
RU,SAR,700,1028
RU,PER,675,565
RU,STA,480,1477
RU,MOS,142,521
RU,KDA,404,435
RU,LEN,319,1288
RU,MOS,112,1550
RU,ZAB,959,2499
RU,PER,668,588
RU,NVS,943,525
RU,VGG,513,1578
RU,SVE,743,600
RU,SVE,744,1651
RU,SVE,745,113
RU,KIA,860,24364
RU,SAR,710,2967
RU,ROS,524,1539
RU,KDA,414,1061
RU,KDA,436,1603
RU,KDA,415,1059
RU,MOS,185,16949
RU,NIZ,629,1001
RU,MOS,162,1551
RU,ORE,645,2832
RU,PER,680,579
RU,PNZ,658,1021
RU,NVS,935,746
RU,TA,595,1516
RU,NIZ,630,1013
RU,ROS,531,31612
RU,ALT,856,805
RU,BA,557,653
RU,PER,669,586
RU,NVS,942,742
RU,KIA,880,840
RU,KGN,718,93
RU,KDA,438,1604
RU,MOS,164,1552
RU,KRS,88,699
RU,KGN,722,14611
RU,CE,400,3154
RU,KRS,90,335
RU,CHE,829,3137
RU,SVE,746,604
RU,KDA,439,1605
RU,TY,838,871
RU,CHE,815,687
RU,BU,836,2440
RU,KDA,416,1606
RU,YAN,795,680
RU,KL,382,2541
RU,KDA,456,14662
RU,VLA,34,2479
RU,KHM,776,624
RU,LIP,99,361
RU,KDA,440,1607
RU,TA,587,213
RU,VGG,509,2458
RU,KEM,916,299
RU,SA,968,1416
RU,STA,465,1076
RU,SVE,747,1403
RU,PRI,979,2377
RU,KIA,869,846
RU,ORL,188,440
RU,MOS,165,15320
RU,NVS,939,1989
RU,LIP,95,320
RU,VOR,48,357
RU,MOS,113,474
RU,LEN,303,975
RU,MOS,182,536
RU,LEN,304,81
RU,MOS,146,494
RU,PRI,987,2398
RU,NIZ,634,1003
RU,PER,670,568
RU,MOS,114,167
RU,KRS,91,2672
RU,MOS,147,57
RU,KLU,73,144
RU,KHM,790,154
RU,MAG,1011,314
RU,CHE,816,258
RU,AD,350,1233
RU,AL,832,77
RU,KB,376,2516
RU,MOS,149,516
RU,NGR,342,2817
RU,IN,363,15223
RU,KLU,79,423
RU,KOS,85,2615
RU,KEM,918,759
RU,SAR,701,1851
RU,ROS,538,2914
RU,DA,354,442
RU,KHM,777,1137
RU,ME,573,2748
RU,KDA,454,2646
RU,KR,261,2557
RU,ORE,646,36
RU,BA,558,2419
RU,KEM,919,777
RU,VLA,41,13461
RU,BA,559,946
RU,TA,596,1519
RU,TA,597,1520
RU,LEN,318,1285
RU,CHE,817,7
RU,ROS,525,1060
RU,STA,466,199
RU,KIA,870,836
RU,ARK,275,1951
RU,SA,965,891
RU,VGG,498,1232
RU,STA,488,1078
RU,TAM,210,380
RU,MOS,151,486
RU,UD,603,1871
RU,SE,392,2014
RU,MOS,183,534
RU,MUR,329,987
RU,ROS,539,2916
RU,TAM,211,3034
RU,MOW,1019,44
RU,MOS,145,469
RU,KDA,441,1608
RU,YAN,796,678
RU,MUR,325,265
RU,MUR,335,1324
RU,VLA,32,1759
RU,ORL,189,1115
RU,KEM,920,776
RU,MOS,152,920
RU,TA,588,433
RU,NIZ,635,1012
RU,BRY,21,2319
RU,YAN,797,681
RU,KIA,871,854
RU,IN,364,443
RU,KB,372,1081
RU,MOS,153,69
RU,KB,378,2518
RU,NEN,281,943
RU,MOS,143,1545
RU,PRI,980,501
RU,PSK,348,2880
RU,SAK,1014,3216
RU,STA,467,1079
RU,SVE,748,1335
RU,STA,475,3018
RU,TVE,223,1456
RU,KOS,86,2616
RU,ZAB,962,14382
RU,SA,966,892
RU,IN,370,
RU,SAM,693,1048
RU,BA,560,629
RU,STA,481,127
RU,KHM,778,621
RU,KHM,779,255
RU,TA,589,153
RU,IRK,889,875
RU,PNZ,660,13345
RU,NIZ,621,414
RU,SVE,749,251
RU,SVE,750,72
RU,SVE,751,1339
RU,MUR,337,2800
RU,VGG,510,1144
RU,KHA,994,2372
RU,PNZ,661,13288
RU,MOS,128,16186
RU,LEN,316,14787
RU,SVE,762,1649
RU,VOR,58,557
RU,STA,482,1482
RU,ALT,852,788
RU,VGG,511,1574
RU,VOR,49,1362
RU,ARK,276,997
RU,BRY,15,418
RU,KDA,442,1609
RU,KEM,921,273
RU,SAM,684,1031
RU,RYA,195,459
RU,TUL,238,447
RU,STA,478,3020
RU,KDA,443,1611
RU,KDA,417,436
RU,NVS,931,270
RU,ALT,845,13278
RU,CHE,802,
RU,KDA,432,2651
RU,ORE,647,11
RU,SAR,711,13005
RU,ULY,717,3106
RU,SVE,752,611
RU,CU,611,387
RU,ROS,526,1071
RU,ROS,527,206
RU,KEM,911,23877
RU,BEL,9,341
RU,YAN,798,12
RU,MOS,156,1204
RU,KIA,872,279
RU,YAN,799,679
RU,TA,590,1023
RU,PER,676,587
RU,KHM,780,626
RU,ARK,280,1949
RU,KLU,74,1276
RU,KRS,93,2673
RU,NVS,936,756
RU,MOS,160,520
RU,CHE,825,692
RU,MOS,163,496
RU,SAM,685,1034
RU,BA,561,657
RU,NGR,343,2820
RU,MUR,330,2801
RU,OMS,947,268
RU,KIR,618,197
RU,ARK,277,1950
RU,IN,369,14789
RU,ORL,187,149
RU,ORE,640,261
RU,MOS,115,172
RU,ROS,542,2918
RU,ORE,648,697
RU,PER,677,595
RU,KEM,922,775
RU,TVE,224,1457
RU,PSK,349,1168
RU,VOR,50,1309
RU,KDA,444,1613
RU,LEN,315,14895
RU,SAM,686,1044
RU,SAK,1015,2399
RU,PER,678,593
RU,NIZ,631,1009
RU,ALT,858,780
RU,VOR,59,927
RU,LEN,321,1388
RU,KDA,445,1614
RU,MOS,166,488
RU,VGG,512,1576
RU,PRI,982,2394
RU,KDA,406,2653
RU,PNZ,655,504
RU,NIZ,636,1900
RU,SVE,753,616
RU,MOS,173,16155
RU,YAR,248,187
RU,PER,662,248
RU,ROS,541,14456
RU,NGR,344,2822
RU,LEN,322,1210
RU,VGG,506,2459
RU,SAR,702,2974
RU,ZAB,960,14384
RU,KR,255,450
RU,KAM,1008,285
RU,VLA,42,2484
RU,KO,267,998
RU,LEN,305,88
RU,TUL,244,2101
RU,CHE,818,3138
RU,VOR,51,1366
RU,MOS,116,157
RU,LEN,306,976
RU,KHM,787,14629
RU,KHM,781,73
RU,VLA,43,940
RU,SVE,754,606
RU,KDA,435,1615
RU,KEM,917,1333
RU,MUR,331,2805
RU,MUR,332,2796
RU,SAK,1016,2996
RU,SAM,687,1041
RU,BRY,22,1882
RU,IVA,68,2085
RU,SAR,706,2975
RU,VOR,46,
RU,KDA,446,1063
RU,LEN,307,84
RU,BA,550,13001
RU,KEM,923,773
RU,ROS,543,2922
RU,KEM,928,758
RU,MOS,117,1556
RU,KB,373,2017
RU,PSK,346,393
RU,SAR,703,2978
RU,LEN,323,394
RU,MOS,168,17
RU,MOS,118,174
RU,KHM,782,229
RU,STA,468,151
RU,VLA,35,2480
RU,KHM,783,20
RU,BA,568,1138
RU,BEL,7,2069
RU,AMU,1003,13013
RU,MOS,170,1095
RU,TAM,212,371
RU,SVE,755,306
RU,SVE,757,1642
RU,MOS,119,389
RU,SVE,729,1436
RU,TVE,225,1458
RU,IVA,69,463
RU,CHE,814,
RU,SMO,204,3002
RU,VOR,52,1439
RU,YAR,249,434
RU,ROS,515,438
RU,MOS,120,177
RU,SAR,704,2980
RU,ALT,853,798
RU,MO,576,1636
RU,YAR,250,147
RU,RYA,196,2941
RU,KRS,94,2674
RU,RYA,197,2945
RU,RYA,190,159
RU,BA,562,111
RU,YAN,793,677
RU,ROS,528,2926
RU,SAM,681,430
RU,SPE,1020,137
RU,ORE,653,2830
RU,MO,574,417
RU,UD,604,491
RU,SAR,695,428
RU,NIZ,632,1231
RU,RYA,192,2355
RU,CHE,819,689
RU,SMO,205,2353
RU,KK,840,827
RU,IRK,890,873
RU,STA,483,1484
RU,KGD,290,2062
RU,LEN,313,2712
RU,IRK,897,8
RU,AMU,1004,3229
RU,STA,470,
RU,TUL,235,3066
RU,BU,834,543
RU,ARK,278,996
RU,MUR,333,2382
RU,SVE,758,599
RU,TOM,954,723
RU,KDA,449,1618
RU,KR,259,2569
RU,BU,835,2360
RU,BRY,16,2305
RU,NIZ,637,1903
RU,ROS,544,2928
RU,VOR,60,355
RU,NIZ,638,1904
RU,MOS,172,522
RU,PNZ,659,2859
RU,SVE,759,601
RU,MOS,121,169
RU,LEN,308,1209
RU,LEN,320,1208
RU,BA,563,664
RU,CHE,827,14619
RU,RYA,193,2947
RU,ALT,854,806
RU,PRI,988,2872
RU,KDA,418,1064
RU,LEN,309,982
RU,KIR,617,2383
RU,IRK,901,1192
RU,SMO,199,395
RU,CHE,826,693
RU,VLA,33,2481
RU,KGD,291,2536
RU,KIR,619,2590
RU,KHA,995,2373
RU,KHM,789,1217
RU,VLG,284,991
RU,PER,671,572
RU,MOS,175,479
RU,KHA,999,3124
RU,ORE,649,2831
RU,ORE,650,2834
RU,KR,260,2570
RU,KIA,875,835
RU,LEN,310,979
RU,KO,268,2597
RU,MOS,169,1567
RU,KDA,419,437
RU,PRI,983,2376
RU,SVE,733,2397
RU,STA,458,439
RU,MOS,159,1555
RU,NGR,340,2825
RU,BRY,23,2306
RU,KDA,450,1619
RU,KDA,457,1622
RU,BEL,5,132
RU,SAR,712,2981
RU,BA,564,257
RU,TOM,955,515
RU,BEL,11,2474
RU,TAM,215,3029
RU,VLA,37,13291
RU,MOS,176,122
RU,TUL,245,176
RU,STA,485,13501
RU,NVS,944,730
RU,KHM,784,254
RU,VGG,514,14663
RU,IN,367,31187
RU,KLU,80,1938
RU,SAM,694,13033
RU,SVE,760,1641
RU,MOS,178,47
RU,SAM,688,1033
RU,KO,262,404
RU,SVE,763,1414
RU,SVE,761,1632
RU,ROS,529,1069
RU,KEM,924,2366
RU,IRK,891,885
RU,SVE,765,612
RU,KIA,874,26
RU,ALT,859,817
RU,TAM,207,298
RU,OMS,950,718
RU,YAN,800,682
RU,NVS,937,748
RU,KEM,925,2571
RU,KDA,451,1623
RU,TVE,216,245
RU,IVA,64,2356
RU,KDA,452,1065
RU,KB,377,2517
RU,KDA,453,1058
RU,LEN,311,978
RU,KDA,420,203
RU,TYU,770,512
RU,KLU,77,1940
RU,NVS,945,727
RU,SAM,689,431
RU,MOS,150,1250
RU,TOM,951,269
RU,KEM,926,768
RU,TVE,226,1387
RU,TVE,229,1460
RU,LEN,312,78
RU,ORE,654,2835
RU,CHE,824,3218
RU,MOW,122,510
RU,CHE,820,690
RU,IN,371,
RU,BRY,24,2323
RU,PRI,972,13279
RU,KDA,421,34
RU,BA,565,628
RU,TUL,230,150
RU,IRK,892,876
RU,SVE,766,1652
RU,YAR,251,1409
RU,MOS,171,1568
RU,AMU,1005,318
RU,KB,380,2521
RU,TYU,767,252
RU,KEM,929,2367
RU,UD,607,3094
RU,TAM,213,3037
RU,YAR,252,1110
RU,SA,969,1298
RU,TVE,227,1461
RU,KIA,881,855
RU,TUL,239,2103
RU,BU,833,230
RU,ULY,713,422
RU,BRY,25,2308
RU,KHM,785,540
RU,CE,397,3147
RU,VGG,499,1542
RU,KO,269,5
RU,LIP,100,366
RU,IRK,893,880
RU,PRI,984,955
RU,KK,843,3125
RU,KC,387,2389
RU,IRK,894,878
RU,CHE,821,1754
RU,IRK,895,519
RU,KDA,455,1251
RU,IRK,904,879
RU,BA,546,256
RU,KO,270,1093
RU,BA,566,670
RU,KC,386,2550
RU,KHM,792,14630
RU,BRY,17,2325
RU,PRI,985,906
RU,VGG,500,1026
RU,MOS,123,76
RU,IVA,65,2357
RU,KHA,990,287
RU,KDA,426,1626
RU,KHM,773,625
RU,AST,493,13121
RU,DA,362,2494
RU,MOS,177,45
RU,SAK,1017,68
RU,KDA,424,14788
RU,MOS,174,966
RU,ROS,545,2934
RU,CE,402,
RU,PER,672,563
RU,ROS,540,2935
RU,SAM,690,2384
RU,CHE,822,3219
RU,CU,608,419
RU,KHA,997,13432
RU,KB,379,2519
RU,CHE,801,259
RU,IRK,896,2371
RU,NVS,946,729
RU,VLG,285,403
RU,KC,383,1085
RU,PRI,989,2874
RU,MOS,157,171
RU,KK,841,824
RU,PER,679,580
RU,BEL,10,14597
RU,KGD,294,2348
RU,MOS,179,412
RU,TA,591,1022
RU,ZAB,956,231
RU,BA,569,675
RU,NGR,345,2390
RU,IRK,903,1161
RU,PER,673,575
RU,KGN,719,695
RU,CE,398,3148
RU,KIA,876,852
RU,KOS,87,2622
RU,MOS,180,489
RU,ROS,530,2349
RU,NIZ,639,420
RU,BEL,6,957
RU,VLG,287,2041
RU,IRK,898,319
RU,ZAB,961,13389
RU,ZAB,963,13093
RU,RYA,198,2950
RU,AMU,1006,1760
RU,CU,612,1749
RU,KGN,723,2662
RU,LEN,324,1206
RU,KIA,882,1258
RU,IVA,66,390
RU,TUL,240,2105
RU,MOS,181,493
RU,MOW,124,162
RU,KRS,92,2675
RU,IN,368,2016
RU,MOS,167,1319
RU,MOS,125,168
RU,MOS,158,1557
RU,KL,381,207
RU,SAR,705,214
RU,AD,352,1627
RU,MOS,126,311
RU,KHM,786,627
RU,IVA,70,14606
RU,SAK,1012,473
RU,CHE,823,962
RU,ALT,846,13277
RU,KEM,927,765
RU,VLA,44,2485
RU,CHE,828,14541
RU,AD,353,323
RU,SA,964,283
RU,TYU,771,617
RU,BA,567,2345
RU,KIR,620,2594
RU,ALT,855,778
RU,YAR,247,146
RU,SMO,206,2354
RU,TUL,246,449
RU,ORE,651,2836
RU,KEM,930,2368
RU,CRI,2285,15502
RU,CHU,2283,2381
RU,CRI,2286,15503
RU,CRI,2287,5214
RU,CRI,2288,6874
RU,CRI,2289,7081
RU,CRI,2290,15254
RU,CRI,2291,15508
RU,IN,2284,1736
RU,CRI,2292,15513
RU,CRI,2293,15256
RU,CRI,2294,15345
RU,CRI,2295,11432
RU,CRI,2296,11968
RU,CRI,2297,12963
